ID,採用区分,優先,撮影画面,訴求文,前提データ,撮影時チェック,ファイル名
SS-001,採用,高,ホーム/進捗,"自分の声で、成長を記録","録音数・連続日数・容量メーターが表示される","個人メールやエラーが表示されていない",screenshots/ios/01-home-progress.png
SS-002,採用,高,録音画面,"話した英語をすぐ録音","録音ボタン・言いたいこと入力・読み上げメモが見える","未保存の個人内容ではなくデモ文を表示",screenshots/ios/02-recording-helper.png
SS-003,採用,高,録音履歴,"1週間前の自分と比べられる","録音履歴が3件以上あり新しい順に表示","日時が日本時間で自然",screenshots/ios/03-history.png
SS-004,採用,高,AI添削結果,"文字起こしと添削で振り返る","添削済み録音の詳細を表示","上限エラーやデバッグ表示がない",screenshots/ios/04-ai-feedback.png
SS-005,採用,高,単語ランキング/単語帳,"よく使う単語を見える化","ランキングとアドバイスが表示される","英単語と日本語アドバイスが自然",screenshots/ios/05-word-ranking.png
SS-006,採用,中,Premium案内,"制限を気にせず学習を続ける","比較表が表示される","購入完了など未実装の表現を出さない",screenshots/ios/06-premium.png
SS-007,採用,中,言語設定,"学習言語ごとに記録を整理","設定画面で学習言語が表示される","実メールが見える場合は撮影用アカウントを使う",screenshots/ios/07-language-settings.png
SS-008,採用,中,単語帳,"気になった表現を復習","単語帳に複数単語が登録されている","空状態ではなく復習チェックが見える",screenshots/ios/08-vocabulary.png
SS-009,任意,低,容量メーター,"音声ログを安心して管理","保存容量が適度に使用済み","上限直前の不安を煽りすぎない",screenshots/ios/09-storage-meter.png
SS-010,任意,低,録音補助,"何を話すか迷っても大丈夫","日本語入力と生成済み練習文が表示される","AI生成中ではなく完成後を撮る",screenshots/ios/10-speaking-draft.png
